,weights
Aguacate,0.061028701385776915
Arroz,3.445422454205762e-10
Auyama,0.3424853222387076
Batata,2.4665413942248895e-11
Berenjena,3.3352134507798974e-10
Guineo,0.28414785738045806
Maíz,3.433182061220065e-10
Papa,0.022713238373497383
Plátano,2.4123506316540183e-09
Yautía,0.289624815226251
Yuca,5.412476887149907e-09
Ñame,5.652443430645971e-08
